Statement;Header;Nom champ;Valeur champ;;;;;;;;;
Statement;Data;Title;Transaction History;;;;;;;;;
Statement;Data;Period;Juin 17, 2025 - Juin 17, 2026;;;;;;;;;
Statement;Data;WhenGenerated;2026-06-18, 12:11:56 EDT;;;;;;;;;
Summary;Header;Nom champ;Valeur champ;;;;;;;;;
Summary;Data;Devise de base;EUR;;;;;;;;;
Summary;Data;Trésorerie de départ;0.0;;;;;;;;;
Transaction History;Data;13/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: -150.6 EUR.USD;Forex Trade Component;EUR.USD;-150.6;1.17089;USD;-0.06369113453999375;-;-0.06369113453999375
Transaction History;Data;12/05/2026;U***54391;ASML HOLDING NV-NY REG SHS;Buy;ASML;1.0;1485.91;USD;-1265.6684198;-0.8517825553399999;-1266.5202023553402
Transaction History;Data;12/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: -1,266.84 EUR.USD;Forex Trade Component;EUR.USD;-1266.84;1.17279;USD;-1.318696575192007;-;-1.318696575192007
Transaction History;Data;12/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: -0.86 EUR.USD;Forex Trade Component;EUR.USD;-0.86;1.17273;USD;-9.391549159999402E-4;-;-9.391549159999402E-4
Transaction History;Data;12/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: -0.15 EUR.USD;Forex Trade Component;EUR.USD;-0.15;1.17279;USD;-1.5614007000000485E-4;-;-1.5614007000000485E-4
Transaction History;Data;12/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: 0.00727686 EUR.USD;Forex Trade Component;EUR.USD;0.00727686;1.17424218;USD;-1.428892220000505E-6;-;-1.428892220000505E-6
Transaction History;Data;12/05/2026;U***54391;Montant net issu des transactions Forex en devise en base: 0.00272682 EUR.USD;Forex Trade Component;EUR.USD;0.00272682;1.17429719;USD;-6.655897799999651E-7;-;-6.655897799999651E-7
Transaction History;Data;11/05/2026;U***54391;VANECK SPACE INNOVATORS ETF;Buy;JEDI;1.0;90.798;EUR;-90.798;-3.75;-94.548
Transaction History;Data;10/05/2026;U***54391;Transfert électronique de fonds;Deposit;-;-;-;-;1500.0;-;1500.0
Transaction History;Data;27/04/2026;U***54391;Transfert électronique de fonds;Deposit;-;-;-;-;100.0;-;100.0
